Model Size,Dataset Fraction,Epoch,Train Loss,Train Accuracy,Test Accuracy,Test Loss
1,0.3333333333333333,200,0.04558421426992507,95.965,94.27,0.19837130599655212
1,0.3333333333333333,201,0.04485992868994452,95.95,94.19,0.19694057523272931
1,0.3333333333333333,202,0.04722780473293013,95.98,94.29,0.199581600590609
1,0.3333333333333333,203,0.04525155505272233,96.01,94.3,0.19796342697925864
1,0.3333333333333333,204,0.04793535187176079,96.005,94.27,0.20174363385885954
1,0.3333333333333333,205,0.049506441695959705,96.07,94.24,0.19833684917539357
1,0.3333333333333333,206,0.048771957540588017,96.07,94.35,0.19848930330015718
1,0.3333333333333333,207,0.04381713223685125,96.215,94.22,0.1990485679684207
1,0.3333333333333333,208,0.042077264967997366,96.245,94.26,0.1973463320499286
1,0.3333333333333333,209,0.04873876593959559,96.03,94.14,0.19984418109990656
1,0.3333333333333333,210,0.047890382540074126,96.11,94.22,0.19938313745427877
1,0.3333333333333333,211,0.04559280120643081,96.0,94.37,0.2003643536614254
1,0.3333333333333333,212,0.04391066784596747,96.19,94.08,0.20040009525604546
1,0.3333333333333333,213,0.042216484808618095,96.28,94.32,0.19741440520156175
1,0.3333333333333333,214,0.051036364523468505,96.165,94.25,0.19852033592760562
1,0.3333333333333333,215,0.04125097211284243,96.205,94.5,0.19626194696407764
1,0.3333333333333333,216,0.04413317260184106,96.05,94.42,0.19517290729563683
1,0.3333333333333333,217,0.04464371227155066,96.09,94.33,0.1955502415308729
1,0.3333333333333333,218,0.044958455476221765,96.145,94.23,0.1981851852312684
1,0.3333333333333333,219,0.04425630697114452,96.18,94.2,0.20227359249256552
1,0.3333333333333333,220,0.04785893361564655,96.2,94.35,0.1976917967852205
1,0.3333333333333333,221,0.043717459413656005,96.245,94.43,0.19750562025234103
1,0.3333333333333333,222,0.0453768384636967,96.185,94.28,0.19493467294145375
1,0.3333333333333333,223,0.04222959329842762,96.29,94.34,0.19658678023610265
1,0.3333333333333333,224,0.045234868077525664,96.155,94.22,0.1998354254383594
1,0.3333333333333333,225,0.042763622608154445,96.37,94.31,0.19436629028059543
1,0.3333333333333333,226,0.044174705127811735,96.27,94.36,0.1950965360738337
1,0.3333333333333333,227,0.04604450610887473,96.15,94.24,0.19709070932585745
1,0.3333333333333333,228,0.04411521874320735,96.345,94.39,0.19605069881305098
1,0.3333333333333333,229,0.044714317864673156,96.225,94.36,0.19431025154190137
1,0.3333333333333333,230,0.04390641712364118,96.38,94.15,0.19698945199837908
1,0.3333333333333333,231,0.04137563752900263,96.205,94.38,0.19474063376430423
1,0.3333333333333333,232,0.043026902825589394,96.365,94.34,0.1981140720518306
1,0.3333333333333333,233,0.04421624555519432,96.315,94.25,0.19652700347360225
1,0.3333333333333333,234,0.042889906223982005,96.31,94.31,0.19639199971221388
1,0.3333333333333333,235,0.044075726383146205,96.455,94.34,0.19402599192457273
1,0.3333333333333333,236,0.04386104319458175,96.17,94.33,0.19780549877556042
1,0.3333333333333333,237,0.0394450632297689,96.36,94.36,0.19538738367846237
1,0.3333333333333333,238,0.04124533437239896,96.445,94.38,0.19618419281207025
1,0.3333333333333333,239,0.04172951792171047,96.38,94.3,0.1964893872407265
1,0.3333333333333333,240,0.04143110551177316,96.47,94.4,0.19264018321875484
1,0.3333333333333333,241,0.039546105702211905,96.345,94.38,0.19336731646675617
1,0.3333333333333333,242,0.04352929170249374,96.425,94.32,0.19410458950093015
1,0.3333333333333333,243,0.04377029995155183,96.385,94.18,0.19697156459791587
1,0.3333333333333333,244,0.042036911294718454,96.375,94.38,0.19378593003610148
1,0.3333333333333333,245,0.03842694364535581,96.475,94.51,0.1933611117117107
